298-1449771513-575182,zacxt,knocrt,hect,facrk@,icn,d,wei,@n,kacrackt@r@stik,xluit,
299-1449161569-95687,zacxt,knocr,hect,facrk@n,icn,d@,wei,@n,karackt@r@stik,x@luit,
3054-1449440153-404762,zacx,knocr,hect,facrk@,icn,d@,wei,@n,karackt@r@stik,x@luit,
3282-1449505302-434399,zacxt,knocr,hect,vacrk@,icn,d,wei,@n,kacrackt@r@stik,gc@luit,
333-1449236093-195963,zacxt,knr,hect,facrk@n,icn,d@,wei,@n,karackt@r@stik,x@luit,
3354-1449518046-451028,zacxt,knocrt,hect,vacrk@,icn,d,wei,@n,kacrackt@r@stik,x@luit,
3385-1450452093-716770,zacxt,knocr,hect,vacrk@,icn,d@,wei,@,karackt@r@stik,x@luit,
3526-1453505394-920497,zacx,knocr,hect,facrk@n,icn,d,wei,@n,kacrackt@r@stik,x@luit,
3966-1449926409-608858,sacx,knocr,hect,vacrk@,icn,d@,wei,@n,karackt@r@stik,gcluit,
3984-1450772308-760460,sacxt,knocr,hect,vacrk@,n,d,wei,@,karackt@r@stik,gc@luit,
4111-1450004774-636312,zacx,knocr,hect,vacrk@n,n,d,wei,@n,kacrackt@r@stik,gc@luit,
4357-1450263122-695446,zacxt,kn@r,hect,facrk@,icn,d,wei,n,karackt@r@stik,x@luit,
4378-1450525875-722546,sacx,knocrt,hect,facrk@,icn,d,wei,n,kacrackt@r@stik,x@luit,
4406-1452359900-877783,zacxt,knocr,hect,facrk@,icn,d,wei,n,kacrackt@r@stik,x@luit,
4616-1450896257-770555,zacxt,knocr,hect,facrk@,icn,d,wei,@n,kacrackt@r@stik,x@luit,
4725-1451143994-786730,sacxt,knocr,hect,vacrk@n,icn,d,wei,@n,kacrackt@r@stik,gc@luit,
4766-1451504371-827614,zacxt,knocr,hect,facrk@,icn,d@,wei,@n,karackt@r@stik,gc@luit,
4895-1451512577-828926,zacx,knocr,hect,vacrk@,icn,d@,wei,@n,karackt@r@stik,gc@luit,
4923-1453397920-915602,zacx,knocrt,hect,facrk@n,icn,d@,wei,@n,karackt@r@stik,x@luit,
5153-1457516520-946396,zacx,knocr,hect,vacrk@n,icn,d,wei,@,karackt@r@stik,xluit,
5383-1454010939-993534,sacxt,kn@r,hect,facrk@,icn,d@,wei,@n,karackt@r@stik,x@luit,
5669-1454599313-1328428,zacxt,knocr,hect,facrk@,n,d,wei,@n,karackt@r@stik,x@luit,
6225-1454062734-1072161,zacxt,knocr,hect,facrk@,icn,d,wei,@n,karackt@r@stik,gcluit,
6259-1455285576-1430725,zacx,knocr,hect,facrk@,icn,d,wei,@n,karackt@r@stik,x@luit,
7039-1454586937-1322739,zacx,knocr,hect,facrk@n,icn,d@,wei,@n,karackt@r@stik,gc@luit,
7055-1458853138-1705454,zacx,knrt,hect,facrk@,icn,d@,wei,@n,kacrackt@r@stik,xluit,
7140-1454519987-1291925,zacx,knocrt,hect,facrk@,icn,d,wei,@n,kacrackt@r@stik,x@luit,
7275-1456400423-1483995,sacx,knocr,hect,facrk@,icn,d,wei,@n,karackt@r@stik,x@luit,
7440-1454956561-1392725,zacx,knocr,hect,facrk@n,icn,d,wei,@n,kacrackt@r@stik,x@luit,
7470-1455010316-1400166,zacxt,knocrt,hect,facrk@n,icn,d@,wei,@,karackt@r@stik,x@luit,
7790-1456078887-1491886,zacxt,knocr,hect,facrk@n,icn,d,wei,@n,kacrackt@r@stik,x@luit,
7955-1463165405-1812850,zacx,kn@r,hect,vacrk@n,icn,d@,wei,@n,karackt@r@stik,x@luit,
7961-1456579226-1532318,sacx,knocr,hect,facrk@n,icn,d@,wei,@n,karackt@r@stik,x@luit,
8404-1458301219-1677745,sacxt,knocr,hect,vacrk@,icn,d@,wei,@n,kacrackt@r@stik,xluit,
8674-1457954120-1637296,sacxt,knocr,hect,facrk@,icn,d@,wei,@n,karackt@r@stik,x@luit,
8763-1458205927-1666262,sacx,kn@r,hect,facrk@n,icn,d@,wei,n,karackt@r@stik,x@luit,
8834-1458057428-1660740,zacxt,knocr,hect,facrk@n,icn,d,wei,n,kacrackt@r@stik,x@luit,
8937-1459254043-1717809,zacx,knocr,hect,vacrk@,icn,d@,wei,@n,karackt@r@stik,gc@luit,
8963-1458482032-1689424,sacx,knocr,hect,facrk@n,icn,d,wei,@n,karackt@r@stik,gcluit,
9363-1462391436-1799749,zacxt,knocrt,hect,facrk@n,icn,d,wei,n,karackt@r@stik,x@luit,
9571-1463950866-1846056,zacx,kn@r,hect,facrk@,icn,d,wei,n,karackt@r@stik,x@luit,
9623-1463764915-1834338,sacxt,knocr,hect,facrk@,icn,d@,wei,@n,karackt@r@stik,x@luit,
9789-1464980752-2225408,sacx,knocr,hect,vacrk@n,icn,d,wei,@n,kacrackt@r@stik,gc@luit,
9935-1464218044-1951631,sacx,knocr,hect,facrk@n,n,d@,wei,n,kacrackt@r@stik,x@luit,
